2014-05-27 22:40:46,304 [DEBUG] django.db.backends: (0.106) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-27 22:40:45' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-27 22:40:45')
2014-05-28 04:26:53,435 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 04:26:53' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 04:26:53')
2014-05-28 04:26:53,476 [DEBUG] django.db.backends: (0.017) UPDATE `django_session` SET `session_data` = 'MWE5NzdjYTc3YzhkODg2YjMyMDYxOGFmMmY3N2Y5YmRhZTgxYzY5ZTp7Il9hdXRoX3VzZXJfaWQiOjEsIl9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwid2l6YXJkX2NvbnRhY3Rfd2l6YXJkIjp7InN0ZXBfZmlsZXMiOnt9LCJzdGVwIjoiMCIsImV4dHJhX2RhdGEiOnt9LCJzdGVwX2RhdGEiOnt9fX0=', `expire_date` = '2014-06-11 04:26:53' WHERE `django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1' ; args=(u'MWE5NzdjYTc3YzhkODg2YjMyMDYxOGFmMmY3N2Y5YmRhZTgxYzY5ZTp7Il9hdXRoX3VzZXJfaWQiOjEsIl9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwid2l6YXJkX2NvbnRhY3Rfd2l6YXJkIjp7InN0ZXBfZmlsZXMiOnt9LCJzdGVwIjoiMCIsImV4dHJhX2RhdGEiOnt9LCJzdGVwX2RhdGEiOnt9fX0=', u'2014-06-11 04:26:53', 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1')
2014-05-28 14:32:55,615 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 14:32:55' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 14:32:55')
2014-05-28 14:32:55,629 [DEBUG] django.db.backends: (0.000) UPDATE `django_session` SET `session_data` = 'ZDExZGM0OGNhNTMwMzIwYjAzN2Y0M2U4MTIzYjZkMjEwODQxMzlmYzp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9pZCI6MSwid2l6YXJkX2NvbnRhY3Rfd2l6YXJkIjp7InN0ZXBfZmlsZXMiOnsiMCI6e319LCJzdGVwIjoiMSIsImV4dHJhX2RhdGEiOnt9LCJzdGVwX2RhdGEiOnsiMCI6eyJjb250YWN0X3dpemFyZC1jdXJyZW50X3N0ZXAiOlsiMCJdLCJjc3JmbWlkZGxld2FyZXRva2VuIjpbImkwMGtiOHc0Ukt3UDhPUWNneTZUOTI2NlJDQnlXNGVWIl0sIjAtc3ViamVjdCI6WyJDaGVlc2UiXX19fX0=', `expire_date` = '2014-06-11 14:32:55' WHERE `django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1' ; args=(u'ZDExZGM0OGNhNTMwMzIwYjAzN2Y0M2U4MTIzYjZkMjEwODQxMzlmYzp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9pZCI6MSwid2l6YXJkX2NvbnRhY3Rfd2l6YXJkIjp7InN0ZXBfZmlsZXMiOnsiMCI6e319LCJzdGVwIjoiMSIsImV4dHJhX2RhdGEiOnt9LCJzdGVwX2RhdGEiOnsiMCI6eyJjb250YWN0X3dpemFyZC1jdXJyZW50X3N0ZXAiOlsiMCJdLCJjc3JmbWlkZGxld2FyZXRva2VuIjpbImkwMGtiOHc0Ukt3UDhPUWNneTZUOTI2NlJDQnlXNGVWIl0sIjAtc3ViamVjdCI6WyJDaGVlc2UiXX19fX0=', u'2014-06-11 14:32:55', 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1')
2014-05-28 14:33:09,905 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 14:33:09' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 14:33:09')
2014-05-28 14:33:09,918 [DEBUG] django.db.backends: (0.000) UPDATE `django_session` SET `session_data` = 'ZjgyZDNkZTk1YzY3MjIzMWI5MzI0ZWY4NTU4ZWJlYWY2ZDcwNjFjMjp7Il9hdXRoX3VzZXJfaWQiOjEsIl9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwid2l6YXJkX2NvbnRhY3Rfd2l6YXJkIjp7InN0ZXBfZmlsZXMiOnsiMSI6e30sIjAiOnt9fSwic3RlcCI6IjIiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7IjEiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjEiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJpMDBrYjh3NFJLd1A4T1FjZ3k2VDkyNjZSQ0J5VzRlViJdLCIxLXNlbmRlciI6WyJNaWtlQG1lLmNvbSJdfSwiMCI6eyJjb250YWN0X3dpemFyZC1jdXJyZW50X3N0ZXAiOlsiMCJdLCJjc3JmbWlkZGxld2FyZXRva2VuIjpbImkwMGtiOHc0Ukt3UDhPUWNneTZUOTI2NlJDQnlXNGVWIl0sIjAtc3ViamVjdCI6WyJDaGVlc2UiXX19fX0=', `expire_date` = '2014-06-11 14:33:09' WHERE `django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1' ; args=(u'ZjgyZDNkZTk1YzY3MjIzMWI5MzI0ZWY4NTU4ZWJlYWY2ZDcwNjFjMjp7Il9hdXRoX3VzZXJfaWQiOjEsIl9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwid2l6YXJkX2NvbnRhY3Rfd2l6YXJkIjp7InN0ZXBfZmlsZXMiOnsiMSI6e30sIjAiOnt9fSwic3RlcCI6IjIiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7IjEiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjEiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJpMDBrYjh3NFJLd1A4T1FjZ3k2VDkyNjZSQ0J5VzRlViJdLCIxLXNlbmRlciI6WyJNaWtlQG1lLmNvbSJdfSwiMCI6eyJjb250YWN0X3dpemFyZC1jdXJyZW50X3N0ZXAiOlsiMCJdLCJjc3JmbWlkZGxld2FyZXRva2VuIjpbImkwMGtiOHc0Ukt3UDhPUWNneTZUOTI2NlJDQnlXNGVWIl0sIjAtc3ViamVjdCI6WyJDaGVlc2UiXX19fX0=', u'2014-06-11 14:33:09', 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1')
2014-05-28 14:33:22,172 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 14:33:22' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 14:33:22')
2014-05-28 14:33:22,173 [DEBUG] django_test.views: Cheese
2014-05-28 14:33:22,173 [DEBUG] django_test.views: Mike@me.com
2014-05-28 14:33:22,173 [DEBUG] django_test.views: This is awesome
2014-05-28 14:34:23,159 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 14:34:23' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 14:34:23')
2014-05-28 14:34:23,178 [DEBUG] django.db.backends: (0.003) UPDATE `django_session` SET `session_data` = 'ZTA3YjIyMjk2N2JiZTY4MjE1OGFjOTJhOTZhMzg4NTk0MTgzN2NiNzp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9pZCI6MSwid2l6YXJkX2NvbnRhY3Rfd2l6YXJkIjp7InN0ZXBfZmlsZXMiOnsiMSI6e30sIjAiOnt9fSwic3RlcCI6IjIiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7IjEiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjEiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJpMDBrYjh3NFJLd1A4T1FjZ3k2VDkyNjZSQ0J5VzRlViJdLCIxLXNlbmRlciI6WyJ6aGFuZ2JpbkBnd21haWwuZ3d1LmVkdSJdfSwiMCI6eyJjb250YWN0X3dpemFyZC1jdXJyZW50X3N0ZXAiOlsiMCJdLCJjc3JmbWlkZGxld2FyZXRva2VuIjpbImkwMGtiOHc0Ukt3UDhPUWNneTZUOTI2NlJDQnlXNGVWIl0sIjAtc3ViamVjdCI6WyJDaGVlc2UiXX19fX0=', `expire_date` = '2014-06-11 14:34:23' WHERE `django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1' ; args=(u'ZTA3YjIyMjk2N2JiZTY4MjE1OGFjOTJhOTZhMzg4NTk0MTgzN2NiNzp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9pZCI6MSwid2l6YXJkX2NvbnRhY3Rfd2l6YXJkIjp7InN0ZXBfZmlsZXMiOnsiMSI6e30sIjAiOnt9fSwic3RlcCI6IjIiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7IjEiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjEiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJpMDBrYjh3NFJLd1A4T1FjZ3k2VDkyNjZSQ0J5VzRlViJdLCIxLXNlbmRlciI6WyJ6aGFuZ2JpbkBnd21haWwuZ3d1LmVkdSJdfSwiMCI6eyJjb250YWN0X3dpemFyZC1jdXJyZW50X3N0ZXAiOlsiMCJdLCJjc3JmbWlkZGxld2FyZXRva2VuIjpbImkwMGtiOHc0Ukt3UDhPUWNneTZUOTI2NlJDQnlXNGVWIl0sIjAtc3ViamVjdCI6WyJDaGVlc2UiXX19fX0=', u'2014-06-11 14:34:23', 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1')
2014-05-28 14:34:28,416 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 14:34:28' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 14:34:28')
2014-05-28 14:34:28,419 [DEBUG] django_test.views: Cheese
2014-05-28 14:34:28,419 [DEBUG] django_test.views: zhangbin@gwmail.gwu.edu
2014-05-28 14:34:28,419 [DEBUG] django_test.views: awesome
2014-05-28 16:52:51,290 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 16:52:51' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 16:52:51')
2014-05-28 16:52:51,325 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article`; args=()
2014-05-28 16:52:51,326 [DEBUG] django.db.backends: (0.000) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article`; args=()
2014-05-28 18:38:14,101 [DEBUG] django.db.backends: (0.000) SELECT `south_migrationhistory`.`id`, `south_migrationhistory`.`app_name`, `south_migrationhistory`.`migration`, `south_migrationhistory`.`applied` FROM `south_migrationhistory` WHERE `south_migrationhistory`.`applied` IS NOT NULL ORDER BY `south_migrationhistory`.`applied` ASC; args=()
2014-05-28 18:38:14,180 [DEBUG] django.db.backends: (0.000) SET foreign_key_checks=0; args=None
2014-05-28 18:38:14,181 [DEBUG] django.db.backends: (0.000) SET foreign_key_checks=1; args=None
2014-05-28 18:38:14,184 [DEBUG] django.db.backends: (0.000) SELECT `south_migrationhistory`.`id`, `south_migrationhistory`.`app_name`, `south_migrationhistory`.`migration`, `south_migrationhistory`.`applied` FROM `south_migrationhistory` WHERE `south_migrationhistory`.`applied` IS NOT NULL ORDER BY `south_migrationhistory`.`applied` ASC; args=()
2014-05-28 18:38:14,193 [DEBUG] django.db.backends: (0.001) SHOW variables WHERE Variable_Name='default_storage_engine';; args=None
2014-05-28 18:38:14,215 [DEBUG] django.db.backends: (0.021) CREATE TABLE ROLLBACK_TEST (X INT); args=None
2014-05-28 18:38:14,216 [DEBUG] django.db.backends: (0.001) INSERT INTO ROLLBACK_TEST (X) VALUES (8); args=None
2014-05-28 18:38:14,218 [DEBUG] django.db.backends: (0.000) SELECT COUNT(X) FROM ROLLBACK_TEST; args=None
2014-05-28 18:38:14,237 [DEBUG] django.db.backends: (0.019) DROP TABLE ROLLBACK_TEST; args=None
2014-05-28 18:38:14,238 [DEBUG] south: execute "SET FOREIGN_KEY_CHECKS=0;" with params "[]"
2014-05-28 18:38:14,238 [DEBUG] django.db.backends: (0.000) SET FOREIGN_KEY_CHECKS=0;; args=[]
2014-05-28 18:38:14,245 [DEBUG] django.db.backends: (0.006) CREATE TABLE DDL_TRANSACTION_TEST (X INT); args=None
2014-05-28 18:38:14,245 [DEBUG] django.db.backends: (0.000) CREATE TABLE DDL_TRANSACTION_TEST (X INT); args=None
2014-05-28 18:38:14,248 [DEBUG] django.db.backends: (0.002) DROP TABLE DDL_TRANSACTION_TEST; args=None
2014-05-28 18:38:14,250 [DEBUG] south: execute "SET FOREIGN_KEY_CHECKS=0;" with params "[]"
2014-05-28 18:38:14,250 [DEBUG] django.db.backends: (0.000) SET FOREIGN_KEY_CHECKS=0;; args=[]
2014-05-28 18:38:14,251 [DEBUG] south: execute "CREATE TABLE `userprofile_userprofile` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL UNIQUE, `likes_cheese` bool NOT NULL, `favourite_hamster_name` varchar(50) NOT NULL)" with params "[]"
2014-05-28 18:38:14,256 [DEBUG] django.db.backends: (0.005) CREATE TABLE `userprofile_userprofile` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL UNIQUE, `likes_cheese` bool NOT NULL, `favourite_hamster_name` varchar(50) NOT NULL); args=[]
2014-05-28 18:38:14,256 [DEBUG] south: execute "ALTER TABLE `userprofile_userprofile` ADD CONSTRAINT `user_id_refs_id_45274066` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`);" with params "[]"
2014-05-28 18:38:14,264 [DEBUG] django.db.backends: (0.008) ALTER TABLE `userprofile_userprofile` ADD CONSTRAINT `user_id_refs_id_45274066` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`);; args=[]
2014-05-28 18:38:14,266 [DEBUG] django.db.backends: (0.000) SELECT `south_migrationhistory`.`id`, `south_migrationhistory`.`app_name`, `south_migrationhistory`.`migration`, `south_migrationhistory`.`applied` FROM `south_migrationhistory` WHERE (`south_migrationhistory`.`app_name` = 'userprofile'  AND `south_migrationhistory`.`migration` = '0001_initial' ); args=('userprofile', '0001_initial')
2014-05-28 18:38:14,266 [DEBUG] django.db.backends: (0.000) INSERT INTO `south_migrationhistory` (`app_name`, `migration`, `applied`) VALUES ('userprofile', '0001_initial', '2014-05-28 18:38:14'); args=['userprofile', '0001_initial', u'2014-05-28 18:38:14']
2014-05-28 18:38:14,270 [DEBUG] django.db.backends: (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'userprofile'  AND `django_content_type`.`app_label` = 'userprofile' ); args=('userprofile', u'userprofile')
2014-05-28 18:38:14,271 [DEBUG] django.db.backends: (0.000) INSERT INTO `django_content_type` (`name`, `app_label`, `model`) VALUES ('user profile', 'userprofile', 'userprofile'); args=[u'user profile', u'userprofile', 'userprofile']
